Link_Produk, Link_Gambar, Deskripsi_Singkat, Nama_Produk, Status_Stok, Label_Promo, Deskripsi_Lengkap
"https://shopee.co.id/Tempered-glass-Full-layar-Privacy-samsung-A01-A02-02S-A03-A03S-A04-A04S-A04E-A05-A05S-A06-A06S-A07-4G-A07-5G-A10-A10S-A10E-A11-A11X-A12-A13-A14-A15-A16-A17-4G-A17-5G-A20-A22-A22-A23-A23-A20-A20E-A20S-A21-A21S-A24-A25-A26-A33-A34-tempered-glass-samsung-i.913643695.50450629227?extraParams=%7B%22display_model_id%22%3A365055257671%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224p-mgir1vdcl0y6bb"",""Tempered glass Full layar Privacy samsung A01 A02 02S A03 A03S A04 A04S A04E A05 A05S A06 A06S A07 4G A07 5G A10 A10S A10E A11 A11X A12 A13 A14 A15 A16 A17 4G A17 5G A20 A22 A22 A23 A23 A20 A20E A20S A21 A21S A24 A25 A26 A33 A34 tempered glass samsung"",""12.960"",""-64%"",""4.8"",""3RB+ terjual"""
"https://shopee.co.id/TG-full-anti-spy-samsung-A56-A57-5G-A36-A26-S24-FE-A13-A55-A35-A25-A23-A25-tempered-glass-samsung-i.913643695.24623213991?extraParams=%7B%22display_model_id%22%3A167078629841%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81ztc-mford1cx4k5o7a"",""TG full anti spy samsung A56 A57 5G A36 A26 S24 FE A13 A55 A35 A25 A23 A25  tempered glass samsung"",""11.249"",""-75%"",""4.8"",""3RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Anti-Spy-Samsung-A16-5G-A16-4G-A04-A04E-A04S-A04-Core-A14-5G-A14-4G-A24-4G-A34-A54-A74-5G-M13-4G-M13-5G-M33-M34-5G-M53-A15-A15-5G-Anti-Gores-Anti-Spy-Privacy-Full-Layar-i.913643695.17694279756?extraParams=%7B%22display_model_id%22%3A257163695247%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/sg-11134207-7rfgu-m3gmxjhdrg2vd9"",""Tempered Glass Anti Spy Samsung A16 5G A16 4G A04 A04E A04S A04 Core A14 5G A14 4G A24 4G A34 A54  A74 5G M13 4G M13 5G M33 M34 5G M53 A15 A15 5G Anti Gores Anti Spy Privacy Full Layar"",""10.650"",""-76%"",""4.8"",""10RB+ terjual"""
"https://shopee.co.id/TG-full-anti-spy-oppo-A5-A5-PRO-A5X-A3X-PRO-A3-A3X-K13X-A5i-A5i-PRO-tempered-glass-oppo-i.913643695.42873817469?extraParams=%7B%22display_model_id%22%3A266936014142%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81ztp-mfqu41q7436424"",""TG full anti spy oppo A5 A5 PRO A5X A3X PRO A3 A3X K13X A5i A5i PRO tempered glass oppo"",""12.150"",""-73%"",""4.6"",""1RB+ terjual"""
"https://shopee.co.id/Tempered-glass-Full-layar-Privacy-oppo-A31-A32-A33-A35-A74-A76-A83-A91-A96-A97-A95-A95-R17-R17-PRO-F9-F9-PRO-F7-F5-F5-Youth-F7-Youth-F15-F11-F17-F17-pro-F19-F19-pro-F19-pro-F1-F1s-F1f-F1fw-anti-spy-anti-gores-oppo-i.913643695.49250644252?extraParams=%7B%22display_model_id%22%3A440055228207%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224v-mgiuasky97gr7f"",""Tempered glass Full layar Privacy oppo A31 A32 A33 A35 A74 A76 A83 A91 A96 A97 A95 A95 R17 R17 PRO F9 F9 PRO F7 F5 F5 Youth F7 Youth F15 F11 F17 F17 pro F19 F19 pro F19 pro+ F1 F1s F1f F1fw anti spy anti gores oppo"",""13.320"",""-63%"",""4.9"",""737 terjual"""
"https://shopee.co.id/TG-full-anti-spy-samsung-A07-4G-A07-5G-A17-4G-A17-5G-A06-A06S-A05-A05S-Tempered-glass-samsung-i.913643695.23686405689?extraParams=%7B%22display_model_id%22%3A276421942758%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-822wh-mlj4fg3062vc1f"",""TG full anti spy samsung A07 4G A07 5G A17 4G A17 5G A06 A06S A05 A05S Tempered glass samsung"",""12.150"",""-73%"",""4.8"",""8RB+ terjual"""
"https://shopee.co.id/Tempered-glass-Full-layar-Privacy-oppo-A5i-A5i-PRO-A5S-A3S-A1K-A5-A5-PRO-A5X-A5-2020-A9-2020-A92-A92S-A93-A94-A95-A95-A36-A52-A37-Neo9-A53-A53-A53S-2020-A38-A57-2022-A57-2016-A56-A56S-A59-A57S-A54-A55-A55-A54-A54S-A53-K7-K9-K9-Pro-K10-K3-Anti-gores-oppo-i.913643695.51050614251?extraParams=%7B%22display_model_id%22%3A390055224017%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224x-mgiuaskyam17f6"",""Tempered glass Full layar Privacy oppo A5i A5i PRO A5S A3S A1K A5 A5 PRO A5X A5 2020 A9 2020 A92 A92S A93 A94 A95 A95 A36 A52 A37 Neo9 A53 A53 A53S 2020 A38 A57 2022 A57 2016 A56 A56S A59 A57S A54 A55 A55 A54 A54S A53 K7 K9 K9 Pro K10 K3 Anti gores oppo"",""12.960"",""-64%"",""4.8"",""575 terjual"""
"https://shopee.co.id/TG-full-anti-spy-redmi-A7-PRO-15C-4G-15C-5G-12-12C-13-13C-13X-14C-10C-10A-10-10X-9-9A-9C-9T-8-8A-8A-8T-PRO-10X-PRO-11-PRIME-10-PRIME-9-PRIME-8-PRIME-tempered-gass-redmi-i.913643695.28492845786?extraParams=%7B%22display_model_id%22%3A261933965017%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81ztg-mfqr8l43tvka09"",""TG full anti spy redmi A7 PRO 15C 4G 15C 5G 12 12C 13 13C 13X 14C 10C 10A 10 10X 9 9A 9C 9T 8 8A 8A 8T PRO 10X PRO 11 PRIME 10 PRIME 9 PRIME 8 PRIME tempered gass redmi"",""13.050"",""-71%"",""4.7"",""1RB+ terjual"""
"https://shopee.co.id/TG-full-anti-spy-oppo-A60-A54S-A54-4G-A54-5G-A74-A94-A36-A56-A76-A96-A35-A55-A95-A53-A32-A52-A72-A92-K3-tempered-glass-oppo-i.913643695.22140496078?extraParams=%7B%22display_model_id%22%3A158182080348%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-7r98t-lltphq6ckpez8f"",""TG full anti spy oppo A60 A54S A54 4G A54 5G A74 A94 A36 A56 A76 A96 A35 A55 A95 A53 A32 A52 A72 A92 K3 tempered glass oppo"",""12.150"",""-73%"",""4.9"",""1RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Bening-Samsung-A07-5G-A07-4G-A05-A05S-A06-A06S-A04-A04E-A04S-A04-core-A03-A03s-A03-core-A02-A02s-A01-A01-core-anti-gores-samsung-i.913643695.43772476523?extraParams=%7B%22display_model_id%22%3A177332007640%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-822wj-mll6inb1ww79a3"",""Tempered Glass Bening Samsung A07 5G A07 4G  A05 A05S A06 A06S A04 A04E A04S A04 core A03 A03s A03 core A02 A02s A01 A01 core anti gores samsung"",""11.995"",""-67%"",""4.8"",""2RB+ terjual"""
